2026-08-05 12:03:57,748 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:04:02,976 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:04:08,206 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:04:13,446 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:04:18,676 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:04:23,906 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:04:29,137 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:04:34,386 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:04:39,606 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:04:44,826 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:04:50,067 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:04:55,296 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:05:00,586 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:05:05,825 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:05:11,066 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:05:16,315 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:05:21,535 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:05:26,778 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:05:32,008 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:05:37,243 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:05:42,487 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:05:47,746 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:05:52,998 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:05:58,236 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:06:03,568 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:06:08,801 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:06:14,040 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:06:19,278 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:06:24,596 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:06:29,840 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:06:35,080 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:06:40,319 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:06:45,549 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 12:06:50,855 INFO Conectado al servidor de impresión
2026-08-05 16:41:53,155 WARNING Conexión perdida (no close frame received or sent); reintentando en 5s
2026-08-05 16:41:58,417 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 404); reintentando en 5s
2026-08-05 16:42:03,671 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 403); reintentando en 5s
2026-08-05 16:42:08,894 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 403); reintentando en 5s
2026-08-05 16:42:14,129 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 403); reintentando en 5s
2026-08-05 16:42:19,347 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 403); reintentando en 5s
2026-08-05 16:42:24,585 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 403); reintentando en 5s
2026-08-05 16:42:29,833 WARNING Conexión perdida (server rejected WebSocket connection: HTTP 403); reintentando en 5s
