2026-08-13 09:43:17,287 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 5s
2026-08-13 09:43:24,983 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 10s
2026-08-13 09:43:37,686 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 20s
2026-08-13 09:44:00,376 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 40s
2026-08-13 09:44:43,075 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 80s
2026-08-13 09:46:05,782 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 160s
2026-08-13 09:48:48,488 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-13 09:53:51,187 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-13 09:58:53,916 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-13 10:03:56,646 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-13 10:08:59,344 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-13 10:14:02,037 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-13 10:19:04,781 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-13 10:24:07,514 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-13 10:29:10,245 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-13 10:34:12,964 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-13 10:39:15,679 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-13 10:44:18,410 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-13 10:49:21,129 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-13 10:54:23,838 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-13 10:59:26,566 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
