2026-08-12 10:25:24,268 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 5s
2026-08-12 10:25:31,983 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 10s
2026-08-12 10:25:44,687 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 20s
2026-08-12 10:26:07,382 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 40s
2026-08-12 10:26:50,063 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 80s
2026-08-12 10:28:12,777 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 160s
2026-08-12 10:30:55,493 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-12 10:35:58,236 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-12 10:41:01,160 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-12 10:46:03,873 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-12 10:51:06,604 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-12 10:56:09,340 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-12 11:01:12,078 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-12 11:06:14,810 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-12 11:11:17,535 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-12 11:16:20,277 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-12 11:21:22,999 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-12 11:26:25,728 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-12 11:31:28,469 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-12 11:36:31,198 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-12 11:41:33,930 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-12 11:46:36,650 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-12 11:51:39,362 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-12 11:56:42,087 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-12 12:01:44,808 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-12 12:06:47,517 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
2026-08-12 12:11:50,244 WARNING Conexión perdida ([Errno 11001] getaddrinfo failed); reintentando en 300s
